episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
90,0,-1.2,400,0,0,1,0.760781,0.014588,5.29341,35401
91,0,-1.2,400,0,0,1,0.758498,0.014553,5.33986,35801
92,0,-1.19813,400,0,0,1,0.756223,0.012837,5.3801,36201
93,0,-1.2,400,0,0,1,0.753954,0.014665,5.44089,36601
94,0,-1.2,400,0,0,1,0.751692,0.015167,5.48627,37001
95,0,-1.2,400,0,0,1,0.749437,0.014869,5.54201,37401
96,0,-1.19767,400,0,0,1,0.747189,0.012867,5.58552,37801
97,0,-1.19952,400,0,0,1,0.744947,0.016313,5.64851,38201
98,0,-1.2,400,0,0,1,0.742712,0.016426,5.69328,38601
99,0,-1.19904,400,0,0,1,0.740484,0.016316,5.72874,39001
100,0,-1.19991,400,0,0,1,0.738263,0.01495,5.79322,39401
101,0,-1.19925,400,0,0,1,0.736048,0.014783,5.83255,39801
102,0,-1.2,400,0,0,1,0.73384,0.013736,5.87281,40201
103,0,-1.19846,400,0,0,1,0.731638,0.015097,5.93837,40601
104,0,-1.2,400,0,0,1,0.729443,0.013266,5.97162,41001
105,0,-1.2,400,0,0,1,0.727255,0.01511,6.03094,41401
106,0,-1.19861,400,0,0,1,0.725073,0.016692,6.05629,41801
107,0,-1.2,400,0,0,1,0.722898,0.014585,6.09372,42201
108,0,-1.2,400,0,0,1,0.720729,0.01593,6.1269,42601
109,0,-1.2,400,0,0,1,0.718567,0.013046,6.16082,43001
110,0,-1.2,400,0,0,1,0.716412,0.016706,6.20461,43401
111,0,-1.2,400,0,0,1,0.714262,0.011593,6.24896,43801
112,0,-1.2,400,0,0,1,0.71212,0.01528,6.28353,44201
113,0,-1.2,400,0,0,1,0.709983,0.014315,6.31301,44601
114,0,-1.2,400,0,0,1,0.707853,0.015838,6.33343,45001
115,0,-1.2,400,0,0,1,0.70573,0.016814,6.35452,45401
116,0,-1.2,400,0,0,1,0.703612,0.01545,6.38417,45801
117,0,-1.2,400,0,0,1,0.701502,0.013875,6.40471,46201
118,0,-1.2,400,0,0,1,0.699397,0.014234,6.43346,46601
119,0,-1.2,400,0,0,1,0.697299,0.013589,6.45288,47001
120,0,-1.2,400,0,0,1,0.695207,0.01784,6.46021,47401
121,0,-1.2,400,0,0,1,0.693121,0.017113,6.48131,47801
122,0,-1.2,400,0,0,1,0.691042,0.016285,6.48028,48201
123,0,-1.2,400,0,0,1,0.688969,0.015777,6.48807,48601
124,0,-1.2,400,0,0,1,0.686902,0.013701,6.50258,49001
125,0,-1.2,400,0,0,1,0.684841,0.015681,6.50412,49401
126,0,-1.2,400,0,0,1,0.682787,0.016759,6.51642,49801
127,0,-1.2,400,0,0,1,0.680738,0.013488,6.52291,50201
128,0,-1.2,400,0,0,1,0.678696,0.016747,6.52574,50601
129,0,-1.2,400,0,0,1,0.67666,0.016896,6.53893,51001
130,0,-1.2,400,0,0,1,0.67463,0.015464,6.53678,51401
131,0,-1.2,400,0,0,1,0.672606,0.018671,6.54665,51801
132,0,-1.2,400,0,0,1,0.670588,0.014633,6.53233,52201
133,0,-1.2,400,0,0,1,0.668577,0.016241,6.54139,52601
134,0,-1.2,400,0,0,1,0.666571,0.015153,6.54046,53001
135,0,-1.2,400,0,0,1,0.664571,0.015765,6.54207,53401
136,0,-1.2,400,0,0,1,0.662578,0.016633,6.5248,53801
137,0,-1.2,400,0,0,1,0.66059,0.014681,6.51416,54201
138,0,-1.2,400,0,0,1,0.658608,0.018805,6.5167,54601
139,0,-1.2,400,0,0,1,0.656632,0.016938,6.5153,55001
140,0,-1.2,400,0,0,1,0.654662,0.016565,6.50492,55401
141,0,-1.2,400,0,0,1,0.652698,0.01649,6.50526,55801
142,0,-1.2,400,0,0,1,0.65074,0.014565,6.49965,56201
143,0,8.8278,394,1,0,0,0.648788,0.016886,6.48928,56596
144,0,-1.2,400,0,0,1,0.646842,0.016618,6.48662,56996
145,0,-1.2,400,0,0,1,0.644901,0.017369,6.47063,57396
146,0,-1.2,400,0,0,1,0.642966,0.018443,6.46071,57796
147,0,-1.2,400,0,0,1,0.641037,0.014526,6.46038,58196
148,0,-1.2,400,0,0,1,0.639114,0.01535,6.44954,58596
