episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.526033,0.65015,201
3,0,-1.2,400,0,0,1,0.988054,0.298144,0.33376,601
4,0,-1.2,400,0,0,1,0.98509,0.143846,0.25335,1001
5,0,-1.2,400,0,0,1,0.982134,0.04932,0.30281,1401
6,0,-1.2,400,0,0,1,0.979188,0.019681,0.28395,1801
7,0,-1.2,400,0,0,1,0.97625,0.007995,0.28586,2201
8,0,-1.2,400,0,0,1,0.973322,0.00263,0.34027,2601
9,0,-1.2,400,0,0,1,0.970402,0.001528,0.38774,3001
10,0,-1.2,400,0,0,1,0.967491,0.001413,0.45976,3401
11,0,-1.2,400,0,0,1,0.964588,0.001909,0.5017,3801
12,0,-1.2,400,0,0,1,0.961694,0.001808,0.53146,4201
13,0,-1.2,400,0,0,1,0.958809,0.001447,0.56574,4601
14,0,-1.2,400,0,0,1,0.955933,0.001305,0.59029,5001
15,0,-1.2,400,0,0,1,0.953065,0.001234,0.61903,5401
16,0,-1.2,400,0,0,1,0.950206,0.001109,0.64694,5801
17,0,-1.2,400,0,0,1,0.947355,0.001098,0.6736,6201
18,0,-1.2,400,0,0,1,0.944513,0.001291,0.69557,6601
19,0,-1.2,400,0,0,1,0.94168,0.000947,0.71862,7001
20,0,-1.2,400,0,0,1,0.938855,0.001098,0.74004,7401
21,0,-1.2,400,0,0,1,0.936038,0.001204,0.75979,7801
22,0,-1.2,400,0,0,1,0.93323,0.00133,0.78087,8201
23,0,-1.2,400,0,0,1,0.93043,0.00143,0.79218,8601
24,0,-1.2,400,0,0,1,0.927639,0.001124,0.80528,9001
25,0,-1.2,400,0,0,1,0.924856,0.001333,0.81922,9401
26,0,-1.2,400,0,0,1,0.922081,0.001115,0.83684,9801
27,0,-1.2,400,0,0,1,0.919315,0.001247,0.84821,10201
28,0,-1.2,400,0,0,1,0.916557,0.001237,0.86414,10601
29,0,-1.2,400,0,0,1,0.913808,0.001332,0.88177,11001
30,0,-1.2,400,0,0,1,0.911066,0.001383,0.88566,11401
31,0,-1.2,400,0,0,1,0.908333,0.001437,0.90321,11801
32,0,-1.2,400,0,0,1,0.905608,0.001742,0.91549,12201
33,0,-1.2,400,0,0,1,0.902891,0.001741,0.92905,12601
34,0,-1.2,400,0,0,1,0.900182,0.001467,0.94128,13001
35,0,-1.2,400,0,0,1,0.897482,0.001898,0.94967,13401
36,0,-1.2,400,0,0,1,0.894789,0.001908,0.95668,13801
37,0,-1.2,400,0,0,1,0.892105,0.001545,0.96569,14201
38,0,-1.2,400,0,0,1,0.889429,0.001894,0.97913,14601
39,0,-1.2,400,0,0,1,0.88676,0.001821,0.99632,15001
40,0,-1.2,400,0,0,1,0.8841,0.002003,1.0011,15401
41,0,-1.2,400,0,0,1,0.881448,0.001995,1.01216,15801
42,0,-1.2,400,0,0,1,0.878804,0.001753,1.01261,16201
43,0,-1.2,400,0,0,1,0.876167,0.002127,1.02324,16601
44,0,-1.2,400,0,0,1,0.873539,0.001924,1.03503,17001
45,0,-1.2,400,0,0,1,0.870918,0.002471,1.04793,17401
46,0,-1.2,400,0,0,1,0.868305,0.0023,1.05648,17801
47,0,-1.2,400,0,0,1,0.8657,0.001973,1.07425,18201
48,0,-1.2,400,0,0,1,0.863103,0.002316,1.08491,18601
49,0,-1.2,400,0,0,1,0.860514,0.002289,1.10259,19001
50,0,-1.2,400,0,0,1,0.857932,0.002234,1.12011,19401
51,0,-1.2,400,0,0,1,0.855359,0.002557,1.13736,19801
52,0,-1.2,400,0,0,1,0.852793,0.002645,1.14934,20201
53,0,-1.2,400,0,0,1,0.850234,0.00221,1.16956,20601
54,0,-1.2,400,0,0,1,0.847683,0.003079,1.18981,21001
55,0,-1.2,400,0,0,1,0.84514,0.00241,1.20135,21401
56,0,-1.2,400,0,0,1,0.842605,0.002918,1.21547,21801
57,0,-1.2,400,0,0,1,0.840077,0.003403,1.23663,22201
58,0,-1.2,400,0,0,1,0.837557,0.003351,1.25035,22601
59,0,-1.2,400,0,0,1,0.835044,0.003054,1.26243,23001
60,0,-1.2,400,0,0,1,0.832539,0.003129,1.27729,23401
61,0,-1.2,400,0,0,1,0.830042,0.003446,1.30166,23801
62,0,-1.2,400,0,0,1,0.827551,0.003696,1.31678,24201
