episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
90,0,-1.2,400,0,0,1,0.760781,0.008486,3.83738,35401
91,0,-1.2,400,0,0,1,0.758498,0.009653,3.88921,35801
92,0,-1.2,400,0,0,1,0.756223,0.008977,3.94371,36201
93,0,-1.2,400,0,0,1,0.753954,0.010369,3.99674,36601
94,0,-1.2,400,0,0,1,0.751692,0.009562,4.05211,37001
95,0,-1.2,400,0,0,1,0.749437,0.009273,4.10399,37401
96,0,-1.2,400,0,0,1,0.747189,0.008651,4.1617,37801
97,0,-1.2,400,0,0,1,0.744947,0.009941,4.21797,38201
98,0,-1.2,400,0,0,1,0.742712,0.01135,4.26332,38601
99,0,-1.2,400,0,0,1,0.740484,0.009938,4.30717,39001
100,0,-1.2,400,0,0,1,0.738263,0.009609,4.35957,39401
101,0,-1.2,400,0,0,1,0.736048,0.009292,4.39408,39801
102,0,-1.2,400,0,0,1,0.73384,0.009801,4.4259,40201
103,0,-1.2,400,0,0,1,0.731638,0.009889,4.45187,40601
104,0,-1.2,400,0,0,1,0.729443,0.00875,4.47304,41001
105,0,-1.2,400,0,0,1,0.727255,0.009307,4.48653,41401
106,0,-1.2,400,0,0,1,0.725073,0.01034,4.49308,41801
107,0,-1.2,400,0,0,1,0.722898,0.00976,4.49751,42201
108,0,-1.2,400,0,0,1,0.720729,0.010484,4.49567,42601
109,0,-1.2,400,0,0,1,0.718567,0.008642,4.48503,43001
110,0,-1.2,400,0,0,1,0.716412,0.011214,4.47103,43401
111,0,-1.2,400,0,0,1,0.714262,0.007975,4.44875,43801
112,0,-1.2,400,0,0,1,0.71212,0.009729,4.42517,44201
113,0,-1.2,400,0,0,1,0.709983,0.008849,4.40118,44601
114,0,-1.2,400,0,0,1,0.707853,0.010459,4.3726,45001
115,0,-1.2,400,0,0,1,0.70573,0.010596,4.34072,45401
116,0,-1.2,400,0,0,1,0.703612,0.009612,4.31556,45801
117,0,-1.2,400,0,0,1,0.701502,0.00834,4.28689,46201
118,0,-1.2,400,0,0,1,0.699397,0.008862,4.25869,46601
119,0,-1.2,400,0,0,1,0.697299,0.008974,4.2299,47001
120,0,-1.2,400,0,0,1,0.695207,0.011307,4.19806,47401
121,0,-1.2,400,0,0,1,0.693121,0.010343,4.16867,47801
122,0,-1.2,400,0,0,1,0.691042,0.009821,4.14605,48201
123,0,-1.2,400,0,0,1,0.688969,0.009986,4.11899,48601
124,0,-1.2,400,0,0,1,0.686902,0.008324,4.09564,49001
125,0,-1.2,400,0,0,1,0.684841,0.009491,4.08007,49401
126,0,-1.2,400,0,0,1,0.682787,0.010429,4.06755,49801
127,0,-1.2,400,0,0,1,0.680738,0.008701,4.05059,50201
128,0,-1.2,400,0,0,1,0.678696,0.010297,4.04013,50601
129,0,-1.2,400,0,0,1,0.67666,0.01002,4.02899,51001
130,0,-1.2,400,0,0,1,0.67463,0.009064,4.01945,51401
131,0,-1.2,400,0,0,1,0.672606,0.011131,4.01689,51801
132,0,-1.2,400,0,0,1,0.670588,0.009436,4.01213,52201
133,0,-1.2,400,0,0,1,0.668577,0.010243,4.00899,52601
134,0,-1.2,400,0,0,1,0.666571,0.009113,3.99916,53001
135,0,-1.2,400,0,0,1,0.664571,0.01006,4.0211,53401
136,0,-1.2,400,0,0,1,0.662578,0.010831,4.06517,53801
137,0,-1.2,400,0,0,1,0.66059,0.009294,4.11523,54201
138,0,-1.2,400,0,0,1,0.658608,0.011821,4.17194,54601
139,0,-1.2,400,0,0,1,0.656632,0.011506,4.22156,55001
140,0,-1.2,400,0,0,1,0.654662,0.010789,4.27166,55401
141,0,-1.2,400,0,0,1,0.652698,0.010053,4.32896,55801
142,0,-1.2,400,0,0,1,0.65074,0.009479,4.40595,56201
143,0,-1.2,400,0,0,1,0.648788,0.011062,4.47685,56601
144,0,-1.2,400,0,0,1,0.646842,0.010071,4.53141,57001
145,0,-1.2,400,0,0,1,0.644901,0.012037,4.58047,57401
146,0,-1.2,400,0,0,1,0.642966,0.012056,4.63868,57801
147,0,-1.2,400,0,0,1,0.641037,0.009638,4.68033,58201
148,0,-1.2,400,0,0,1,0.639114,0.009895,4.73079,58601
149,0,-1.2,400,0,0,1,0.637197,0.01248,4.77502,59001
150,0,-1.2,400,0,0,1,0.635285,0.010481,4.82628,59401
151,0,-1.2,400,0,0,1,0.63338,0.009213,4.86678,59801
152,0,-1.2,400,0,0,1,0.631479,0.011455,4.92371,60201
153,0,-1.2,400,0,0,1,0.629585,0.011012,4.97064,60601
154,0,-1.2,400,0,0,1,0.627696,0.011142,4.99561,61001
155,0,-1.2,400,0,0,1,0.625813,0.009793,5.04906,61401
156,0,-1.2,400,0,0,1,0.623936,0.010539,5.08542,61801
157,0,-1.2,400,0,0,1,0.622064,0.012006,5.09824,62201
158,0,-1.2,400,0,0,1,0.620198,0.013135,5.13141,62601
159,0,-1.2,400,0,0,1,0.618337,0.012227,5.15394,63001
160,0,-1.2,400,0,0,1,0.616482,0.012349,5.17579,63401
161,0,-1.2,400,0,0,1,0.614633,0.013503,5.19179,63801
162,0,-1.2,400,0,0,1,0.612789,0.011959,5.21666,64201
163,0,-1.2,400,0,0,1,0.61095,0.012563,5.2306,64601
164,0,-1.2,400,0,0,1,0.609118,0.012577,5.24024,65001
165,0,-1.2,400,0,0,1,0.60729,0.013304,5.23428,65401
166,0,-1.2,400,0,0,1,0.605468,0.01237,5.21869,65801
167,0,-1.2,400,0,0,1,0.603652,0.012206,5.20159,66201
168,0,-1.2,400,0,0,1,0.601841,0.011723,5.18638,66601
169,0,-1.2,400,0,0,1,0.600035,0.011933,5.15159,67001
170,0,-1.2,400,0,0,1,0.598235,0.012435,5.10775,67401
171,0,-1.2,400,0,0,1,0.596441,0.011657,5.067,67801
172,0,-1.19217,400,0,0,1,0.594651,0.010928,5.01974,68201
173,0,-1.19865,400,0,0,1,0.592867,0.011461,4.97496,68601
174,0,-1.19938,400,0,0,1,0.591089,0.012048,4.94047,69001
175,0,-1.19352,400,0,0,1,0.589315,0.012032,4.9047,69401
176,0,-1.19894,400,0,0,1,0.587548,0.010306,4.87307,69801
177,0,-1.2,400,0,0,1,0.585785,0.010264,4.85317,70201
178,0,-1.2,400,0,0,1,0.584028,0.01141,4.83398,70601
179,0,9.64906,119,1,0,0,0.582275,0.010496,4.81805,70721
180,0,-1.2,400,0,0,1,0.580529,0.011606,4.80546,71121
181,0,-1.2,400,0,0,1,0.578787,0.01369,4.79685,71521
182,0,-1.2,400,0,0,1,0.577051,0.012009,4.78926,71921
183,0,-1.2,400,0,0,1,0.57532,0.011439,4.78513,72321
184,0,-1.2,400,0,0,1,0.573594,0.010915,4.7893,72721
185,0,-1.2,400,0,0,1,0.571873,0.010713,4.80513,73121
186,0,-1.2,400,0,0,1,0.570157,0.012096,4.81783,73521
187,0,-1.2,400,0,0,1,0.568447,0.014029,4.84101,73921
188,0,-1.2,400,0,0,1,0.566741,0.014076,4.84688,74321
189,0,-1.2,400,0,0,1,0.565041,0.014431,4.88393,74721
190,0,-1.2,400,0,0,1,0.563346,0.013465,4.91646,75121
191,0,-1.2,400,0,0,1,0.561656,0.013688,4.95331,75521
192,0,-1.2,400,0,0,1,0.559971,0.012692,4.97988,75921
193,0,-1.2,400,0,0,1,0.558291,0.013445,4.99814,76321
194,0,-1.2,400,0,0,1,0.556616,0.013873,5.03233,76721
195,0,-1.2,400,0,0,1,0.554946,0.013042,5.06456,77121
196,0,-1.2,400,0,0,1,0.553282,0.013215,5.06798,77521
197,0,-1.2,400,0,0,1,0.551622,0.012574,5.10534,77921
198,0,-1.2,400,0,0,1,0.549967,0.012775,5.09974,78321
199,0,-1.2,400,0,0,1,0.548317,0.011851,5.10164,78721
200,0,-1.2,400,0,0,1,0.546672,0.011749,5.08613,79121
201,0,-1.2,400,0,0,1,0.545032,0.011287,5.06722,79521
202,0,-1.2,400,0,0,1,0.543397,0.012094,5.0707,79921
203,0,-1.2,400,0,0,1,0.541767,0.012227,5.04102,80321
204,0,-1.2,400,0,0,1,0.540141,0.012645,5.01419,80721
205,0,-1.2,400,0,0,1,0.538521,0.012341,5.01626,81121
206,0,-1.2,400,0,0,1,0.536905,0.011193,5.01529,81521
207,0,9.26757,246,1,0,0,0.535295,0.013023,5.01337,81768
208,0,9.4395,189,1,0,0,0.533689,0.010309,5.01828,81958
209,0,9.54398,154,1,0,0,0.532088,0.007337,5.01048,82113
210,0,9.27664,243,1,0,0,0.530491,0.014011,5.00712,82357
211,0,9.20212,268,1,0,0,0.5289,0.011773,5.0181,82626
212,0,-1.2,400,0,0,1,0.527313,0.012183,5.01044,83026
213,0,9.43574,190,1,0,0,0.525731,0.014226,4.99703,83217
214,0,-1.2,400,0,0,1,0.524154,0.010941,5.01931,83617
215,0,-1.2,400,0,0,1,0.522582,0.011035,4.99364,84017
216,0,-1.2,400,0,0,1,0.521014,0.011192,5.00764,84417
217,0,-1.2,400,0,0,1,0.519451,0.012178,5.00398,84817
218,0,-1.2,400,0,0,1,0.517893,0.013671,5.02226,85217
219,0,-1.2,400,0,0,1,0.516339,0.011208,5.01896,85617
220,0,-1.2,400,0,0,1,0.51479,0.013776,5.04087,86017
221,0,-1.2,400,0,0,1,0.513245,0.013106,5.04802,86417
222,0,-1.2,400,0,0,1,0.511706,0.012144,5.03659,86817
223,0,-1.2,400,0,0,1,0.510171,0.010393,5.02851,87217
224,0,-1.2,400,0,0,1,0.50864,0.013537,5.03606,87617
225,0,-1.2,400,0,0,1,0.507114,0.0134,5.03116,88017
226,0,-1.2,400,0,0,1,0.505593,0.012828,5.0228,88417
227,0,9.40065,202,1,0,0,0.504076,0.015716,5.0067,88620
228,0,-1.2,400,0,0,1,0.502564,0.012676,5.00381,89020
