episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
89,0,-1.19492,400,0,0,1,0.76307,0.018965,10.46781,34880
90,0,8.88418,374,1,0,0,0.760781,0.023641,10.38529,35255
91,0,-1.2,400,0,0,1,0.758498,0.02563,10.28651,35655
92,0,-1.19811,400,0,0,1,0.756223,0.02431,10.18582,36055
93,0,-1.2,400,0,0,1,0.753954,0.024034,10.07721,36455
94,0,-1.2,400,0,0,1,0.751692,0.023281,9.97734,36855
95,0,-1.1964,400,0,0,1,0.749437,0.023399,9.8652,37255
96,0,-1.2,400,0,0,1,0.747189,0.021155,9.7462,37655
97,0,-1.19931,400,0,0,1,0.744947,0.022783,9.62816,38055
98,0,-1.19835,400,0,0,1,0.742712,0.02066,9.50038,38455
99,0,-1.2,400,0,0,1,0.740484,0.022933,9.37443,38855
100,0,-1.19606,400,0,0,1,0.738263,0.0248,9.24302,39255
101,0,8.81317,398,1,0,0,0.736048,0.025125,9.11422,39654
102,0,-1.2,400,0,0,1,0.73384,0.020995,8.99147,40054
103,0,-1.19739,400,0,0,1,0.731638,0.023532,8.87365,40454
104,0,-1.19863,400,0,0,1,0.729443,0.018821,8.75411,40854
105,0,-1.19736,400,0,0,1,0.727255,0.019457,8.63807,41254
106,0,-1.19733,400,0,0,1,0.725073,0.022454,8.51552,41654
107,0,-1.19727,400,0,0,1,0.722898,0.021359,8.41022,42054
108,0,-1.2,400,0,0,1,0.720729,0.01998,8.29439,42454
109,0,8.82713,394,1,0,0,0.718567,0.019891,8.18748,42849
110,0,-1.19815,400,0,0,1,0.716412,0.022094,8.09196,43249
111,0,-1.2,400,0,0,1,0.714262,0.019211,7.99188,43649
112,0,-1.19854,400,0,0,1,0.71212,0.018992,7.91914,44049
113,0,-1.1962,400,0,0,1,0.709983,0.021079,7.83768,44449
114,0,8.91055,365,1,0,0,0.707853,0.020735,7.76075,44815
115,0,-1.19808,400,0,0,1,0.70573,0.02075,7.70013,45215
116,0,9.27475,244,1,0,0,0.703612,0.01638,7.64267,45460
117,0,-1.19759,400,0,0,1,0.701502,0.020054,7.59399,45860
118,0,9.22939,260,1,0,0,0.699397,0.015065,7.54708,46121
119,0,-1.18978,400,0,0,1,0.697299,0.01859,7.51168,46521
120,0,-1.19485,400,0,0,1,0.695207,0.019637,7.4574,46921
121,0,8.98064,343,1,0,0,0.693121,0.022712,7.40943,47265
122,0,-1.19541,400,0,0,1,0.691042,0.018333,7.37068,47665
123,0,-1.19609,400,0,0,1,0.688969,0.022173,7.32303,48065
124,0,9.31658,230,1,0,0,0.686902,0.024918,7.30753,48296
125,0,-1.2,400,0,0,1,0.684841,0.019258,7.26906,48696
126,0,-1.19667,400,0,0,1,0.682787,0.020069,7.23048,49096
127,0,-1.19516,400,0,0,1,0.680738,0.019758,7.2164,49496
128,0,8.89296,371,1,0,0,0.678696,0.018872,7.21337,49868
129,0,-1.2,400,0,0,1,0.67666,0.018877,7.22876,50268
130,0,9.09454,304,1,0,0,0.67463,0.019758,7.21207,50573
131,0,8.97083,345,1,0,0,0.672606,0.019668,7.26186,50919
132,0,-1.19066,400,0,0,1,0.670588,0.01968,7.27558,51319
133,0,9.06117,315,1,0,0,0.668577,0.018543,7.3408,51635
134,0,9.39359,204,1,0,0,0.666571,0.023647,7.35348,51840
135,0,-1.19819,400,0,0,1,0.664571,0.023083,7.39264,52240
136,0,9.01202,332,1,0,0,0.662578,0.023602,7.44533,52573
137,0,9.13271,291,1,0,0,0.66059,0.023639,7.50096,52865
138,0,-1.2,400,0,0,1,0.658608,0.021298,7.56466,53265
139,0,8.89109,372,1,0,0,0.656632,0.024152,7.6549,53638
140,0,9.14966,286,1,0,0,0.654662,0.024356,7.73049,53925
141,0,9.2837,241,1,0,0,0.652698,0.022826,7.78044,54167
142,0,9.27133,245,1,0,0,0.65074,0.024216,7.84553,54413
143,0,9.29142,238,1,0,0,0.648788,0.02651,7.94055,54652
144,0,9.36659,213,1,0,0,0.646842,0.026608,7.97836,54866
145,0,9.40341,201,1,0,0,0.644901,0.025948,8.04032,55068
146,0,-1.19432,400,0,0,1,0.642966,0.023928,8.12371,55468
147,0,9.21348,264,1,0,0,0.641037,0.023181,8.23643,55733
148,0,-1.19454,400,0,0,1,0.639114,0.024119,8.31355,56133
149,0,-1.18424,400,0,0,1,0.637197,0.027406,8.45268,56533
150,0,9.25061,252,1,0,0,0.635285,0.02361,8.54082,56786
151,0,9.02193,329,1,0,0,0.63338,0.026719,8.60644,57116
152,0,-1.19736,400,0,0,1,0.631479,0.02889,8.66298,57516
153,0,-1.2,400,0,0,1,0.629585,0.026521,8.77886,57916
154,0,-1.2,400,0,0,1,0.627696,0.021629,8.85035,58316
155,0,-1.19796,400,0,0,1,0.625813,0.025741,8.91246,58716
156,0,-1.2,400,0,0,1,0.623936,0.023786,8.98457,59116
157,0,-1.2,400,0,0,1,0.622064,0.023818,9.01936,59516
158,0,-1.19404,400,0,0,1,0.620198,0.025682,9.07711,59916
159,0,-1.2,400,0,0,1,0.618337,0.026482,9.13903,60316
160,0,-1.19644,400,0,0,1,0.616482,0.024685,9.18889,60716
161,0,-1.2,400,0,0,1,0.614633,0.024103,9.21801,61116
162,0,9.25856,250,1,0,0,0.612789,0.02055,9.25603,61367
163,0,-1.19909,400,0,0,1,0.61095,0.02357,9.27803,61767
164,0,9.37912,209,1,0,0,0.609118,0.024405,9.31546,61977
165,0,9.47166,178,1,0,0,0.60729,0.025991,9.33783,62156
166,0,9.57437,144,1,0,0,0.605468,0.023877,9.33635,62301
167,0,-1.19926,400,0,0,1,0.603652,0.023303,9.37537,62701
168,0,-1.19807,400,0,0,1,0.601841,0.025505,9.43448,63101
169,0,-1.19732,400,0,0,1,0.600035,0.019961,9.45734,63501
170,0,-1.19406,400,0,0,1,0.598235,0.027237,9.50402,63901
171,0,9.33093,225,1,0,0,0.596441,0.02619,9.5378,64127
172,0,-1.19899,400,0,0,1,0.594651,0.019827,9.57698,64527
173,0,-1.19341,400,0,0,1,0.592867,0.024939,9.61244,64927
174,0,8.87308,379,1,0,0,0.591089,0.022233,9.63994,65307
175,0,-1.2,400,0,0,1,0.589315,0.022702,9.66541,65707
176,0,-1.19573,400,0,0,1,0.587548,0.024937,9.66579,66107
177,0,-1.19608,400,0,0,1,0.585785,0.023061,9.67789,66507
178,0,-1.2,400,0,0,1,0.584028,0.021794,9.70994,66907
179,0,-1.19582,400,0,0,1,0.582275,0.024093,9.71761,67307
180,0,8.83961,390,1,0,0,0.580529,0.02324,9.71585,67698
