episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.12263,-0.09646,201
3,0,-1.2,400,0,0,1,0.988054,0.005822,-0.05492,601
4,0,-1.2,400,0,0,1,0.98509,0.000345,-0.00093,1001
5,0,-1.2,400,0,0,1,0.982134,0.000117,0.03622,1401
6,0,-1.2,400,0,0,1,0.979188,8.9e-05,0.06198,1801
7,0,-1.2,400,0,0,1,0.97625,9.5e-05,0.08209,2201
8,0,-1.2,400,0,0,1,0.973322,9.2e-05,0.09433,2601
9,0,-1.2,400,0,0,1,0.970402,9.2e-05,0.10493,3001
10,0,-1.2,400,0,0,1,0.967491,0.000123,0.1173,3401
11,0,-1.2,400,0,0,1,0.964588,0.000152,0.1348,3801
12,0,-1.2,400,0,0,1,0.961694,0.000232,0.15775,4201
13,0,-1.2,400,0,0,1,0.958809,0.000197,0.17429,4601
14,0,-1.2,400,0,0,1,0.955933,0.000228,0.19257,5001
15,0,-1.2,400,0,0,1,0.953065,0.00023,0.21041,5401
16,0,-1.2,400,0,0,1,0.950206,0.000317,0.23071,5801
17,0,-1.2,400,0,0,1,0.947355,0.00032,0.25539,6201
18,0,-1.2,400,0,0,1,0.944513,0.000392,0.29559,6601
19,0,-1.2,400,0,0,1,0.94168,0.000511,0.34266,7001
20,0,-1.2,400,0,0,1,0.938855,0.000733,0.39211,7401
21,0,-1.2,400,0,0,1,0.936038,0.000732,0.45022,7801
22,0,-1.2,400,0,0,1,0.93323,0.000992,0.51875,8201
23,0,-1.2,400,0,0,1,0.93043,0.001315,0.5844,8601
24,0,-1.2,400,0,0,1,0.927639,0.001067,0.65803,9001
25,0,-1.2,400,0,0,1,0.924856,0.001709,0.74165,9401
26,0,-1.2,400,0,0,1,0.922081,0.001336,0.81721,9801
27,0,-1.2,400,0,0,1,0.919315,0.001961,0.89608,10201
28,0,-1.2,400,0,0,1,0.916557,0.002213,0.98935,10601
29,0,-1.2,400,0,0,1,0.913808,0.002133,1.07135,11001
30,0,-1.2,400,0,0,1,0.911066,0.002601,1.15027,11401
31,0,-1.2,400,0,0,1,0.908333,0.002656,1.21663,11801
32,0,-1.2,400,0,0,1,0.905608,0.003077,1.28148,12201
33,0,-1.2,400,0,0,1,0.902891,0.003059,1.3582,12601
34,0,-1.2,400,0,0,1,0.900182,0.002883,1.44453,13001
35,0,-1.2,400,0,0,1,0.897482,0.003543,1.52153,13401
36,0,-1.2,400,0,0,1,0.894789,0.003628,1.59468,13801
37,0,-1.2,400,0,0,1,0.892105,0.003421,1.67399,14201
38,0,-1.2,400,0,0,1,0.889429,0.004152,1.7284,14601
39,0,-1.2,400,0,0,1,0.88676,0.003869,1.80225,15001
40,0,-1.2,400,0,0,1,0.8841,0.004247,1.8691,15401
41,0,-1.2,400,0,0,1,0.881448,0.004194,1.92959,15801
42,0,-1.2,400,0,0,1,0.878804,0.004293,1.99817,16201
43,0,-1.2,400,0,0,1,0.876167,0.004801,2.05701,16601
44,0,-1.2,400,0,0,1,0.873539,0.004942,2.10561,17001
45,0,-1.2,400,0,0,1,0.870918,0.00522,2.15077,17401
46,0,-1.2,400,0,0,1,0.868305,0.005849,2.18995,17801
47,0,-1.2,400,0,0,1,0.8657,0.004378,2.23508,18201
48,0,-1.2,400,0,0,1,0.863103,0.005229,2.25915,18601
49,0,-1.2,400,0,0,1,0.860514,0.005273,2.29525,19001
50,0,-1.2,400,0,0,1,0.857932,0.004825,2.32007,19401
51,0,-1.2,400,0,0,1,0.855359,0.005409,2.35809,19801
52,0,-1.2,400,0,0,1,0.852793,0.005658,2.38002,20201
53,0,-1.2,400,0,0,1,0.850234,0.005052,2.39895,20601
54,0,-1.2,400,0,0,1,0.847683,0.005657,2.41261,21001
55,0,-1.2,400,0,0,1,0.84514,0.005226,2.44924,21401
56,0,-1.2,400,0,0,1,0.842605,0.006052,2.48824,21801
57,0,-1.2,400,0,0,1,0.840077,0.007282,2.512,22201
58,0,-1.2,400,0,0,1,0.837557,0.00687,2.53691,22601
59,0,-1.2,400,0,0,1,0.835044,0.006355,2.56322,23001
60,0,-1.2,400,0,0,1,0.832539,0.006965,2.59478,23401
61,0,-1.2,400,0,0,1,0.830042,0.006927,2.6411,23801
62,0,-1.2,400,0,0,1,0.827551,0.008284,2.67097,24201
