episode,phase,total_reward,steps,success,collision,timeout,epsilon,avg_loss,avg_q,global_train_steps
0,0,-1.2,400,0,0,1,0.997,0.0,0.0,0
1,0,-1.2,400,0,0,1,0.994009,0.0,0.0,0
2,0,-1.2,400,0,0,1,0.991027,0.318833,-0.27068,201
3,0,-1.2,400,0,0,1,0.988054,0.141259,-0.36824,601
4,0,-1.2,400,0,0,1,0.98509,0.008701,-0.35677,1001
5,0,-1.2,400,0,0,1,0.982134,0.001917,-0.30479,1401
6,0,-1.2,400,0,0,1,0.979188,0.000599,-0.27726,1801
7,0,-1.2,400,0,0,1,0.97625,0.000319,-0.25697,2201
8,0,-1.2,400,0,0,1,0.973322,0.000216,-0.24075,2601
9,0,-1.2,400,0,0,1,0.970402,0.000168,-0.21967,3001
10,0,-1.2,400,0,0,1,0.967491,0.000151,-0.19824,3401
11,0,-1.2,400,0,0,1,0.964588,0.000162,-0.18379,3801
12,0,-1.2,400,0,0,1,0.961694,0.000149,-0.16789,4201
13,0,-1.2,400,0,0,1,0.958809,0.000112,-0.1499,4601
14,0,-1.2,400,0,0,1,0.955933,9.7e-05,-0.13442,5001
15,0,-1.2,400,0,0,1,0.953065,7.2e-05,-0.11967,5401
16,0,-1.2,400,0,0,1,0.950206,6.9e-05,-0.10523,5801
17,0,-1.2,400,0,0,1,0.947355,6e-05,-0.09259,6201
18,0,-1.2,400,0,0,1,0.944513,5.3e-05,-0.08089,6601
19,0,-1.2,400,0,0,1,0.94168,4.8e-05,-0.06947,7001
20,0,-1.2,400,0,0,1,0.938855,4.5e-05,-0.05997,7401
21,0,-1.2,400,0,0,1,0.936038,4.2e-05,-0.04983,7801
22,0,-1.2,400,0,0,1,0.93323,4.9e-05,-0.03997,8201
23,0,-1.2,400,0,0,1,0.93043,4.5e-05,-0.03214,8601
24,0,-1.2,400,0,0,1,0.927639,4e-05,-0.02358,9001
25,0,-1.2,400,0,0,1,0.924856,5.3e-05,-0.01424,9401
26,0,-1.2,400,0,0,1,0.922081,9.1e-05,-0.00507,9801
27,0,-1.2,400,0,0,1,0.919315,5.8e-05,0.00512,10201
28,0,-1.2,400,0,0,1,0.916557,5.8e-05,0.01664,10601
29,0,-1.2,400,0,0,1,0.913808,8.6e-05,0.02458,11001
30,0,-1.2,400,0,0,1,0.911066,0.000109,0.0289,11401
31,0,-1.2,400,0,0,1,0.908333,7.8e-05,0.04096,11801
32,0,-1.2,400,0,0,1,0.905608,0.000106,0.052,12201
33,0,-1.2,400,0,0,1,0.902891,0.000135,0.06268,12601
34,0,-1.2,400,0,0,1,0.900182,0.000123,0.07044,13001
35,0,-1.2,400,0,0,1,0.897482,0.000138,0.07842,13401
36,0,-1.2,400,0,0,1,0.894789,0.00015,0.08746,13801
37,0,-1.2,400,0,0,1,0.892105,0.000125,0.09906,14201
38,0,-1.2,400,0,0,1,0.889429,0.000205,0.11041,14601
39,0,-1.2,400,0,0,1,0.88676,0.000208,0.12729,15001
40,0,-1.2,400,0,0,1,0.8841,0.000253,0.13553,15401
41,0,-1.2,400,0,0,1,0.881448,0.000217,0.14425,15801
42,0,-1.2,400,0,0,1,0.878804,0.000218,0.1546,16201
43,0,-1.2,400,0,0,1,0.876167,0.000222,0.16879,16601
44,0,-1.2,400,0,0,1,0.873539,0.000229,0.17726,17001
45,0,-1.2,400,0,0,1,0.870918,0.000301,0.18489,17401
46,0,-1.2,400,0,0,1,0.868305,0.000308,0.19436,17801
47,0,-1.2,400,0,0,1,0.8657,0.000233,0.20384,18201
48,0,-1.2,400,0,0,1,0.863103,0.000315,0.21307,18601
49,0,-1.2,400,0,0,1,0.860514,0.000374,0.23284,19001
50,0,-1.2,400,0,0,1,0.857932,0.000414,0.24459,19401
51,0,-1.2,400,0,0,1,0.855359,0.000426,0.26067,19801
52,0,-1.2,400,0,0,1,0.852793,0.00053,0.2759,20201
53,0,-1.2,400,0,0,1,0.850234,0.000607,0.29175,20601
54,0,-1.2,400,0,0,1,0.847683,0.000701,0.30828,21001
55,0,-1.2,400,0,0,1,0.84514,0.000606,0.32556,21401
56,0,-1.2,400,0,0,1,0.842605,0.000775,0.34574,21801
57,0,-1.2,400,0,0,1,0.840077,0.000961,0.36243,22201
58,0,-1.2,400,0,0,1,0.837557,0.00102,0.38628,22601
59,0,-1.2,400,0,0,1,0.835044,0.00092,0.40377,23001
60,0,-1.2,400,0,0,1,0.832539,0.001138,0.42795,23401
61,0,-1.2,400,0,0,1,0.830042,0.001208,0.4544,23801
